Index, Recommend1, Recommend2, Recommend3, Recommend4,Recommend5, Recommend6, Recommend7, Recommend8, Recommend9, Recommend10
11,2023 미대극회 114회 정기공연 (루나자에서 춤을),2023 자연대 가을 축제 <You Science?>,2023 인문X사회X자전 연합축제: You in 샤,혼성 댄스 동아리 혼또니 정기공연,2023 GoAheaD 9월 정기공연,국악과 축제,네비게이토 선교회 신입생 재학생 초청 모임,2023 단풍연 가을 판굿,SNU 그랜드 퀘스트 오픈 포럼 안내,2023 화학부 가을 체육대회
12,2023 자연대 가을 축제 <You Science?>,국악과 축제,2023 미대극회 114회 정기공연 (루나자에서 춤을),2023 GoAheaD 9월 정기공연,히스×고어헤드×바운스팩토리 연합공연 36.5,2023 인문X사회X자전 연합축제: You in 샤,2023 단풍연 가을 판굿,2023 화학부 가을 체육대회,중앙 몸짓패동아리 골패 정기공연,향록 연극회 신입 공연
13,2023 인문X사회X자전 연합축제: You in 샤,2023 미대극회 114회 정기공연 (루나자에서 춤을),국악과 축제,응생화 X 생과부 일일호프,서울대 무용부 공연,2023 서울대학교 의류학과 패션쇼 ‘서울 SEOUL’,2023 자연대 가을 축제 <You Science?>,헥토파스카 & 베루카 연합공연,2023 독문극회 <물리학자들> 예매 안내,2023 단풍연 가을 판굿
14,2023 미대극회 114회 정기공연 (루나자에서 춤을),2023 인문X사회X자전 연합축제: You in 샤,2023 자연대 가을 축제 <You Science?>,네비게이토 선교회 신입생 재학생 초청 모임,혼성 댄스 동아리 혼또니 정기공연,국악과 축제,2023 GoAheaD 9월 정기공연,2023 단풍연 가을 판굿,향록 연극회 신입 공연,🎶서울대학교 합창단 제 40회 정기 연주회🎶
15,2023 인문X사회X자전 연합축제: You in 샤,인문대 원어연극제 일문극회 관악로켓단,인문대 불문극회 떼아트르 빵타스티끄 원어연극제,2023 미대극회 114회 정기공연 (루나자에서 춤을),국악과 축제,헥토파스카 & 베루카 연합공연,2023 공과대학 가을축제: Fall in 공 안내,2023 서울대학교 의류학과 패션쇼 ‘서울 SEOUL’,2023 자연대 가을 축제 <You Science?>,2023 단풍연 가을 판굿
16,혼성 댄스 동아리 혼또니 정기공연,뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,2023 GoAheaD 9월 정기공연,2023 미대극회 114회 정기공연 (루나자에서 춤을),음대 관현악과 정기연주회,국악과 축제,중앙 몸짓패동아리 골패 정기공연,네비게이토 선교회 신입생 재학생 초청 모임,NRF 세미나(AI와 윤리 초거대 생성형 AI를 중심으로) 개최 안내,삼성 파운드리의 현재와 미래
17,2023 인문X사회X자전 연합축제: You in 샤,중앙도서관 별빛 영화제,2023 미대극회 114회 정기공연 (루나자에서 춤을),국악과 축제,서울대 무용부 공연,실내악 시리즈 III : Claude Bolling,2023 서울대학교 의류학과 패션쇼 ‘서울 SEOUL’,헥토파스카 & 베루카 연합공연,중앙도서관 북 콘서트,2023 자연대 가을 축제 <You Science?>
18,중앙도서관 북 콘서트,중앙 몸짓패동아리 골패 정기공연,중앙도서관 별빛 영화제,국악과 축제,네비게이토 선교회 신입생 재학생 초청 모임,헥토파스카 & 베루카 연합공연,2023 미대극회 114회 정기공연 (루나자에서 춤을),응생화 X 생과부 일일호프,연세대학교 상경·경영대학 학생회 Big Step 일일호프,2023 인문X사회X자전 연합축제: You in 샤
19,2023 미대극회 114회 정기공연 (루나자에서 춤을),혼성 댄스 동아리 혼또니 정기공연,네비게이토 선교회 신입생 재학생 초청 모임,국악과 축제,중앙도서관 별빛 영화제,향록 연극회 신입 공연,헥토파스카 & 베루카 연합공연,히스×고어헤드×바운스팩토리 연합공연 36.5,SNU_CAA 제1회 정기연합행사 : 연박싱,🎶서울대학교 합창단 제 40회 정기 연주회🎶
20,혼성 댄스 동아리 혼또니 정기공연,2023 미대극회 114회 정기공연 (루나자에서 춤을),2023 자연대 가을 축제 <You Science?>,2023 GoAheaD 9월 정기공연,국악과 축제,중앙도서관 별빛 영화제,2023 공과대학 가을축제: Fall in 공 안내,네비게이토 선교회 신입생 재학생 초청 모임,2023 단풍연 가을 판굿,음대 관현악과 정기연주회
21,중앙도서관 별빛 영화제,음대 관현악과 정기연주회,국악과 축제,2023 미대극회 114회 정기공연 (루나자에서 춤을),실내악 시리즈 III : Claude Bolling,서울대 무용부 공연,헥토파스카 & 베루카 연합공연,SNU 그랜드 퀘스트 오픈 포럼 안내,중앙도서관 북 콘서트,🎶서울대학교 합창단 제 40회 정기 연주회🎶
22,2023 인문X사회X자전 연합축제: You in 샤,인공지능의 투명성: 소셜 봇 대응의 최선의 방법,최근 기계 학습의 발전된 알고리즘,2023 BCS 뇌의 기억과 행동 국제 심포지엄,신뢰할 수 있는 AI를 위한 확률적 추론 및 학습,온라인/오프라인에서의 정치 및 사회 경제적 분극에 ICT 활용하기,2023. 9. 14 콜로퀴움 (천문학 전공),뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,2023. 9. 21 콜로퀴움 (천문학 전공),아시아대학연맹 2023 학술 학회 참가 안내 (국제 워터테크놀로지)
23,혼성 댄스 동아리 혼또니 정기공연,2023 미대극회 114회 정기공연 (루나자에서 춤을),네비게이토 선교회 신입생 재학생 초청 모임,향록 연극회 신입 공연,사회대연극당 연극,SNU_CAA 제1회 정기연합행사 : 연박싱,2023 GoAheaD 9월 정기공연,디자인과 과제전 <가속>,히스×고어헤드×바운스팩토리 연합공연 36.5,SNUPO & SNUpia 하계 앙상블
24,2023 인문X사회X자전 연합축제: You in 샤,2023 자연대 가을 축제 <You Science?>,2023 미대극회 114회 정기공연 (루나자에서 춤을),국악과 축제,2023 공과대학 가을축제: Fall in 공 안내,2023 독문극회 <물리학자들> 예매 안내,2023 서울대학교 예술주간 거리공연,2023 단풍연 가을 판굿,헥토파스카 & 베루카 연합공연,히스×고어헤드×바운스팩토리 연합공연 36.5
25,2023 자연대 가을 축제 <You Science?>,2023 인문X사회X자전 연합축제: You in 샤,2023 미대극회 114회 정기공연 (루나자에서 춤을),2023 독문극회 <물리학자들> 예매 안내,국악과 축제,2023 단풍연 가을 판굿,2023 공과대학 가을축제: Fall in 공 안내,히스×고어헤드×바운스팩토리 연합공연 36.5,네비게이토 선교회 신입생 재학생 초청 모임,헥토파스카 & 베루카 연합공연
26,2023 인문X사회X자전 연합축제: You in 샤,2023 미대극회 114회 정기공연 (루나자에서 춤을),디자인과 과제전 <가속>,2023 자연대 가을 축제 <You Science?>,국악과 축제,2023 서울대학교 예술주간 거리공연,2023 독문극회 <물리학자들> 예매 안내,2023 단풍연 가을 판굿,헥토파스카 & 베루카 연합공연,네비게이토 선교회 신입생 재학생 초청 모임
27,인공지능의 투명성: 소셜 봇 대응의 최선의 방법,2023 BCS 뇌의 기억과 행동 국제 심포지엄,과학 생명 예술’ 준비 포럼,온라인/오프라인에서의 정치 및 사회 경제적 분극에 ICT 활용하기,동적 3D 세계 다음 세대의 인공지능,최근 기계 학습의 발전된 알고리즘,신뢰할 수 있는 AI를 위한 확률적 추론 및 학습,2023. 9. 14 콜로퀴움 (천문학 전공),구글 대학 관계 프로그램 설명회 안내,뇌과학세미나2 초청 세미나
28,2023 자연대 가을 축제 <You Science?>,국악과 축제,중앙도서관 별빛 영화제,2023 미대극회 114회 정기공연 (루나자에서 춤을),실내악 시리즈 III : Claude Bolling,2023 인문X사회X자전 연합축제: You in 샤,2023 단풍연 가을 판굿,중앙도서관 북 콘서트,2023 화학부 가을 체육대회,서울대 무용부 공연
29,혼성 댄스 동아리 혼또니 정기공연,2023 인문X사회X자전 연합축제: You in 샤,헥토파스카 & 베루카 연합공연,히스×고어헤드×바운스팩토리 연합공연 36.5,2023 미대극회 114회 정기공연 (루나자에서 춤을),국악과 축제,네비게이토 선교회 신입생 재학생 초청 모임,중앙도서관 별빛 영화제,2023 GoAheaD 9월 정기공연,2023 화학부 가을 체육대회
30,수리과학부 강연,인공지능의 투명성: 소셜 봇 대응의 최선의 방법,2023.10.18 콜로퀴움 (물리학과),2023.9. 27 콜로퀴움 (물리학 전공),2023.10. 4 콜로퀴움 (물리학 전공),경력개발센터 진로콘서트,대학생문화원 자살예방교육,통일평화연구원 통일학포럼,경력개발센터강연,삼성 파운드리의 현재와 미래
31,금융경제연구원 세미나,뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,온라인/오프라인에서의 정치 및 사회 경제적 분극에 ICT 활용하기,2023 BCS 뇌의 기억과 행동 국제 심포지엄,신뢰할 수 있는 AI를 위한 확률적 추론 및 학습,삼성 파운드리의 현재와 미래,이공계 우수인재 커리어페어 개최 안내,인종 차별과 건강할 권리,최근 기계 학습의 발전된 알고리즘,총장과의 대화
32,ECU (Evangelical Christian Union) 치킨파티,2023 인문X사회X자전 연합축제: You in 샤,2023 자연대 가을 축제 <You Science?>,2023 독문극회 <물리학자들> 예매 안내,국악과 축제,중앙도서관 별빛 영화제,2023 단풍연 가을 판굿,2023 미대극회 114회 정기공연 (루나자에서 춤을),음대 관현악과 정기연주회,2023 서울대학교 예술주간 거리공연
33,2023 인문X사회X자전 연합축제: You in 샤,응생화 X 생과부 일일호프,의료데이터 활용을 위한 연구검색 솔루션,2023 독문극회 <물리학자들> 예매 안내,🍺서울대 🎨디자인X기계🛠️ 일일호프🍺,2023 미대극회 114회 정기공연 (루나자에서 춤을),국악과 축제,2023 GoAheaD 9월 정기공연,삼성 파운드리의 현재와 미래,서울대학교 방송 SUB 일일호프
34,2023 자연대 가을 축제 <You Science?>,국악과 축제,중앙도서관 별빛 영화제,음대 관현악과 정기연주회,2023 독문극회 <물리학자들> 예매 안내,2023 서울대학교 예술주간 거리공연,2023 단풍연 가을 판굿,2023 인문X사회X자전 연합축제: You in 샤,2023 미대극회 114회 정기공연 (루나자에서 춤을),중앙도서관 북 콘서트
35,2023 자연대 가을 축제 <You Science?>,2023 인문X사회X자전 연합축제: You in 샤,2023 공과대학 가을축제: Fall in 공 안내,국악과 축제,2023 미대극회 114회 정기공연 (루나자에서 춤을),중앙도서관 별빛 영화제,2023 단풍연 가을 판굿,헥토파스카 & 베루카 연합공연,2023 독문극회 <물리학자들> 예매 안내,중앙도서관 북 콘서트
36,2023 인문X사회X자전 연합축제: You in 샤,인공지능의 투명성: 소셜 봇 대응의 최선의 방법,2023. 9. 21 콜로퀴움 (천문학 전공),최근 기계 학습의 발전된 알고리즘,신뢰할 수 있는 AI를 위한 확률적 추론 및 학습,온라인/오프라인에서의 정치 및 사회 경제적 분극에 ICT 활용하기,2023 BCS 뇌의 기억과 행동 국제 심포지엄,2023. 9. 14 콜로퀴움 (천문학 전공),중앙도서관 별빛 영화제,아시아대학연맹 2023 학술 학회 참가 안내 (국제 워터테크놀로지)
37,뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,구글 대학 관계 프로그램 설명회 안내,이공계 우수인재 커리어페어 개최 안내,문법으로 압축된 문자 트리 그래프에 대한 알고리즘을 향해,[회계학 전공] 입학설명회 개최 안내,NRF 세미나(AI와 윤리 초거대 생성형 AI를 중심으로) 개최 안내,의료데이터 활용을 위한 연구검색 솔루션,2023 진로특강 시리즈_졸업하면 뭐할래? (9월 특강),아시아대학연맹 2023 학술 학회 참가 안내 (국제 워터테크놀로지),과학 생명 예술’ 준비 포럼
38,응생화 X 생과부 일일호프,🍺서울대 🎨디자인X기계🛠️ 일일호프🍺,국악과 축제,2023 독문극회 <물리학자들> 예매 안내,서울대학교 방송 SUB 일일호프,물결의 일일호프,헥토파스카 & 베루카 연합공연,2023 미대극회 114회 정기공연 (루나자에서 춤을),연세대학교 상경·경영대학 학생회 Big Step 일일호프,실내악 시리즈 III : Claude Bolling
39,수리과학부 강연,인공지능의 투명성: 소셜 봇 대응의 최선의 방법,ECU (Evangelical Christian Union) 치킨파티,뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,2023 BCS 뇌의 기억과 행동 국제 심포지엄,경력개발센터 진로콘서트,중앙도서관 별빛 영화제,대학생문화원 자살예방교육,통일평화연구원 통일학포럼,중앙도서관 북 콘서트
40,2023 자연대 가을 축제 <You Science?>,인공지능의 투명성: 소셜 봇 대응의 최선의 방법,2023 화학부 가을 체육대회,2023 독문극회 <물리학자들> 예매 안내,국악과 축제,온라인/오프라인에서의 정치 및 사회 경제적 분극에 ICT 활용하기,최근 기계 학습의 발전된 알고리즘,음대 관현악과 정기연주회,신뢰할 수 있는 AI를 위한 확률적 추론 및 학습,응생화 X 생과부 일일호프
41,동북아시아센터 워크숍,2023 인문X사회X자전 연합축제: You in 샤,중앙도서관 별빛 영화제,뉴욕한인금융인협회(KFS) - 학부생을 위한 진로 멘토링 세미나,2023 독문극회 <물리학자들> 예매 안내,국악과 축제,구글 대학 관계 프로그램 설명회 안내,기초교육원 워크숍,2023 서울대학교 예술주간 거리공연,중앙도서관 북 콘서트
42,중앙도서관 별빛 영화제,음대 관현악과 정기연주회,국악과 축제,중앙도서관 북 콘서트,네비게이토 선교회 신입생 재학생 초청 모임,실내악 시리즈 III : Claude Bolling,헥토파스카 & 베루카 연합공연,SNU 그랜드 퀘스트 오픈 포럼 안내,2023 미대극회 114회 정기공연 (루나자에서 춤을),2023 자연대 가을 축제 <You Science?>
43,삼성 파운드리의 현재와 미래,의료데이터 활용을 위한 연구검색 솔루션,동적 3D 세계 다음 세대의 인공지능,전기·정보세미나3,과학 생명 예술’ 준비 포럼,2023.10.18 콜로퀴움 (물리학과),문법으로 압축된 문자 트리 그래프에 대한 알고리즘을 향해,[정규세미나] 전기자동차 배터리시스템 라이프사이클,경력개발센터 진로콘서트,인공지능의 투명성: 소셜 봇 대응의 최선의 방법
44,SNU 그랜드 퀘스트 오픈 포럼 안내,런치콘서트 시리즈의 네번째 음악회,실내악 시리즈 III : Claude Bolling,김홍박 교수님의 “The romantic Horn“ 연주회,중앙도서관 별빛 영화제,2023 서울대학교 예술주간 거리공연,음대 관현악과 정기연주회,SNUPia 제30회 정기연주회,SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁,국악과 축제
45,중앙도서관 별빛 영화제,음대 관현악과 정기연주회,국악과 축제,중앙도서관 북 콘서트,2023 인문X사회X자전 연합축제: You in 샤,네비게이토 선교회 신입생 재학생 초청 모임,실내악 시리즈 III : Claude Bolling,SNU 그랜드 퀘스트 오픈 포럼 안내,2023 서울대학교 예술주간 거리공연,헥토파스카 & 베루카 연합공연
46,음대 관현악과 정기연주회,국악과 축제,2023 미대극회 114회 정기공연 (루나자에서 춤을),네비게이토 선교회 신입생 재학생 초청 모임,2023 서울대학교 예술주간 거리공연,2023학년도 1학기 서양화과 학사과정 졸업전시 / 석·박사 학위청구전 / 2·3학년 과제전,헥토파스카 & 베루카 연합공연,SNU 그랜드 퀘스트 오픈 포럼 안내,🎶서울대학교 합창단 제 40회 정기 연주회🎶,2023 서울대학교 의류학과 패션쇼 ‘서울 SEOUL’
47,🎶서울대학교 합창단 제 40회 정기 연주회🎶,중앙도서관 별빛 영화제,2023 단풍연 가을 판굿,음대 관현악과 정기연주회,2023 미대극회 114회 정기공연 (루나자에서 춤을),중앙기독교동아리 CCC 신입부원 모집,2023 인문X사회X자전 연합축제: You in 샤,국악과 축제,네비게이토 선교회 신입생 재학생 초청 모임,SNU 그랜드 퀘스트 오픈 포럼 안내
48,음대 관현악과 정기연주회,중앙도서관 별빛 영화제,국악과 축제,중앙도서관 북 콘서트,네비게이토 선교회 신입생 재학생 초청 모임,실내악 시리즈 III : Claude Bolling,헥토파스카 & 베루카 연합공연,2023 공과대학 가을축제: Fall in 공 안내,SNU 그랜드 퀘스트 오픈 포럼 안내,2023 미대극회 114회 정기공연 (루나자에서 춤을)
49,음대 관현악과 정기연주회,국악과 축제,네비게이토 선교회 신입생 재학생 초청 모임,2023 미대극회 114회 정기공연 (루나자에서 춤을),SNU 그랜드 퀘스트 오픈 포럼 안내,2023 서울대학교 예술주간 거리공연,헥토파스카 & 베루카 연합공연,2023 서울대학교 의류학과 패션쇼 ‘서울 SEOUL’,2023 자연대 가을 축제 <You Science?>,🎶서울대학교 합창단 제 40회 정기 연주회🎶
