이수과정,단과대학,소속학과,복수전공/부전공,학번,관심취미,학술 행사의 선호도,공연/축제 행사의 선호도,관심 있는 축제(학술행사),관심 있는 축제(공연행사),가장 최근에 참여한 행사
학부생,간호대학,간호학과,없음,22,"스포츠, 음악, 예술 및 공예, 독서",2,4,"Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots, 의료데이터 활용을 위한 연구검색 솔루션","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 인문X사회X자전 연합축제: You in 샤, 2023 자연대 가을 축제 <You, Science?>, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’, 응생화 X 생과부일일호프, ECU (Evangelical Christian Union) 치킨파티",폐막제
학부생,농업생명과학대학,농경제사회학부,없음,23,"스포츠, 음악",3,3,"2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), 삼성 파운드리의 현재와 미래, 의료데이터 활용을 위한 연구검색 솔루션","2023 인문X사회X자전 연합축제: You in 샤, 응생화 X 생과부일일호프, 2023 GoAheaD 9월 정기공연",응생화 생과부 일일호프
학부생,공과대학,건축학과,없음,22,"스포츠, 음악, 예술 및 공예, 영화 및 TV 시리즈, 여행",3,4,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 자연대 가을 축제 <You, Science?>",71동에서 진행한 취업박람회
학부생,공과대학,컴퓨터공학과,없음,17,"스포츠, 게임",1,4,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, 2023 인문X사회X자전 연합축제: You in 샤, 2023 자연대 가을 축제 <You, Science?>, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",스누라이프 간식행사
학부생,인문대학,국어국문학과,언어학과,21,"영화 및 TV 시리즈, 독서, 게임",4,4,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, 2023 인문X사회X자전 연합축제: You in 샤",2023-2 서울대학교 가을축제 (SNUFESTIVAL: 온더보드X베스트슬립)
학부생,경영대학,경영학과,없음,20,스포츠,3,1,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강), ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼","ECU (Evangelical Christian Union) 치킨파티, 2023 GoAheaD 9월 정기공연",야구부 OB전
대학원생,공과,기계,없음,23,"스포츠, 영화 및 TV 시리즈, 게임",3,4,"삼성 파운드리의 현재와 미래, Drawing with machines",응생화🧪 X 생과부🧬 일일호프,없음
학부생,공과대학,기계공학부,없음,23,"스포츠, 음악, 예술 및 공예, 영화 및 TV 시리즈, 요리, 여행",3,3,"수리과학부 강연 (주제: 작용소대수와 양자정보이론), 뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, ECU (Evangelical Christian Union) 치킨파티",서울대 야구부 OB전
대학원생,컴퓨터공학부,컴퓨터공학과,없음,23,"스포츠, 게임, 여행, 유튜브",3,3,"Drawing with machines, Transparency of AI: The Best Practices of Dealing with Social Bots","SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 자연대 가을 축제 <You, Science?>",냔지 기타 연주회
대학원생,법과대학,법학과,없음,22,"영화 및 TV 시리즈, 게임, 여행",4,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, 동북아시아센터 워크숍","중앙도서관 별빛 영화제, 2023 인문X사회X자전 연합축제: You in 샤",
학부생,생활과학대,의류학과,없음,18,"음악, 예술 및 공예, 영화 및 TV 시리즈, 독서",2,4,"삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots, 의료데이터 활용을 위한 연구검색 솔루션","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",
학부생,공과대학,전기정보공학부,없음,18,"스포츠, 음악, 게임",5,3,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, 삼성 파운드리의 현재와 미래, Drawing with machines, 의료데이터 활용을 위한 연구검색 솔루션","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",학교 가을축제 다녀왔습니다
대학원생,음악대학,음악과 지휘전공,영어영문학전공 (학부 당시),16 이하,"스포츠, 음악, 영화 및 TV 시리즈, 독서, 요리, 여행",4,5,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",예술주간 시네뮤직 페스티벌
학부생,인문대학,영어영문학과,없음,18,"음악, 예술 및 공예, 영화 및 TV 시리즈, 독서, 여행",3,5,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, 동북아시아센터 워크숍","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",
학부생,미술대학 ,서양화과 ,미학과,18,"음악, 예술 및 공예",3,5,"‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, Drawing with machines","SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",
학부생,인문대학,불어불문학과,없음,18,"음악, 예술 및 공예, 독서, 요리, 여행",4,4,2023 진로특강 시리즈_졸업하면 뭐할래? (미대 진로 특강),"중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",SNU 필하모닉 오케스트라 정기 연주회
학부생,공과대학,전기정보공학부,없음,18,"음악, 영화 및 TV 시리즈, 독서, 여행",1,3,"삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots","중앙도서관 별빛 영화제, SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁",스누포 정기연주회
학부생,전기정보공학부,전기정보공학전공,없음,18,"스포츠, 음악, 예술 및 공예, 게임, 여행",2,4,"뉴욕한인금융인협회(KFS) - 학부생을 위한 career mentoring seminar, ‘과학, 생명, 예술(Science, Life, Art)’ 예비 포럼, 삼성 파운드리의 현재와 미래, Transparency of AI: The Best Practices of Dealing with Social Bots","SNU 필하모닉 오케스트라 정기연주회 : 라흐마니노프의 저녁, 2023 서울대학교 의류학과 패션쇼 ‘서울, SEOUL’",
